Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2021,NY,New York,Broome,36007,36007001500,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,29.9,,,25.8,33.8,4672,POINT (-75.93971965 42.09719758),36007001500,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,NY,New York,Broome,36007,36007013000,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.0,,,2.6,3.4,4391,POINT (-75.99980586 42.12336933),36007013000,HLTHOUT,STROKE,CrdPrv,Stroke
2021,NY,New York,Broome,36007,36007013700,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.6,,,3.1,4.2,3299,POINT (-76.07664419 42.08717851),36007013700,HLTHOUT,STROKE,CrdPrv,Stroke
2021,NY,New York,Cayuga,36011,36011041700,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,39.2,,,34.7,43.8,3987,POINT (-76.55668669 42.91944272),36011041700,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,NY,New York,Chemung,36015,36015000100,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,4.3,,,3.9,4.8,2943,POINT (-76.80324329 42.10710922),36015000100,HLTHOUT,STROKE,CrdPrv,Stroke
2021,NY,New York,Chemung,36015,36015000600,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.8,,,2.5,3.0,3732,POINT (-76.81494712 42.09244607),36015000600,HLTHOUT,STROKE,CrdPrv,Stroke
2021,NY,New York,Chemung,36015,36015001000,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.8,,,3.4,4.3,2922,POINT (-76.80636191 42.08088887),36015001000,HLTHOUT,STROKE,CrdPrv,Stroke
2021,NY,New York,Chemung,36015,36015010400,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.9,,,3.2,4.8,3599,POINT (-76.83777135 42.17327706),36015010400,HLTHOUT,STROKE,CrdPrv,Stroke
2021,NY,New York,Chenango,36017,36017970802,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.2,,,2.9,3.5,3721,POINT (-75.74083342 42.37941732),36017970802,HLTHOUT,STROKE,CrdPrv,Stroke
2021,NY,New York,Clinton,36019,36019100100,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.3,,,3.0,3.6,5754,POINT (-73.43243307 44.95910948),36019100100,HLTHOUT,STROKE,CrdPrv,Stroke
2021,NY,New York,Clinton,36019,36019101900,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.0,,,2.7,3.3,6998,POINT (-73.55609018 44.58207633),36019101900,HLTHOUT,STROKE,CrdPrv,Stroke
2021,NY,New York,Cortland,36023,36023970200,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.6,,,2.4,2.9,5830,POINT (-76.17214933 42.70332669),36023970200,HLTHOUT,STROKE,CrdPrv,Stroke
2021,NY,New York,Delaware,36025,36025970500,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,34.5,,,29.8,39.0,4279,POINT (-75.31086055 42.13698512),36025970500,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,NY,New York,Dutchess,36027,36027010000,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.7,,,3.4,4.1,4436,POINT (-73.55346576 41.8244088),36027010000,HLTHOUT,STROKE,CrdPrv,Stroke
2021,NY,New York,Dutchess,36027,36027130003,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.7,,,2.4,3.0,5119,POINT (-73.7934549 41.74497851),36027130003,HLTHOUT,STROKE,CrdPrv,Stroke
